what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1320690460418
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1320690460418
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1320690460418
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1320690460418
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1320690460418
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1320690460418
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1320690460418
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1320690460418
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1320690460428
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1320690460428
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1320690460428
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1320690460428
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1320690460438
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1320690460438
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1320690460438
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1320690460448
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1320690460448
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1320690460448
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1320690460448
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1320690460448
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1320690460448
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1320690460448
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1320690460448
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1320690460448
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1320690460458
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1320690460458
started,bundle,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.core",1320690460458
os,sysinfo,,,"win32",1320690460458
arch,sysinfo,,,"x86",1320690460458
ws,sysinfo,,,"win32",1320690460458
locale,sysinfo,,,"en_US",1320690460458
processors,sysinfo,,,"4",1320690460458
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1320690460458
java.runtime.version,sysinfo,,,"1.6.0_29-b11",1320690460458
java.specification.name,sysinfo,,,"Java Platform API Specification",1320690460458
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1320690460458
java.specification.version,sysinfo,,,"1.6",1320690460458
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1320690460458
java.version,sysinfo,,,"1.6.0_29",1320690460458
java.vm.info,sysinfo,,,"mixed mode, sharing",1320690460458
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1320690460458
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1320690460458
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1320690460458
java.vm.specification.version,sysinfo,,,"1.0",1320690460458
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1320690460458
java.vm.version,sysinfo,,,"20.4-b02",1320690460458
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1320690461514
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320690461951
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320690464151
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1320690466466
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1320690474204
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1320690474266
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1320690476762
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1320690476996
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1320690477058
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320690486793
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320690962106
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320690962793
